customer_id,session_id,session_date,month,quarter,is_weekend,device_type,traffic_source,city_tier,gender,age,product_category,visited_site,added_to_cart,reached_checkout,entered_payment_details,purchase_completed,funnel_drop_stage,num_items_in_cart,cart_value_inr,time_on_site_min,page_views,page_load_time_sec,is_returning_customer,previous_purchases,payment_method,discount_applied,coupon_code,payment_failed,email_reminder_sent,recovered_after_reminder,day_name
CUST_56461,SESS_00795,2024-07-26,7,Q3,0,Mobile,Organic,Tier 1,Male,44.0,Fashion,1,1,1,0,0,Checkout_Dropped,4.0,52.07,6.4,2.0,0.64,1,9.0,net_banking,0,FLASH50,,1,No,Friday
CUST_48950,SESS_00471,2023-11-17,11,Q4,0,Tablet,Social,Tier 3,Male,47.0,Fashion,1,1,0,0,0,Cart_Dropped,2.0,76.07,15.0,10.0,1.49,0,0.0,net_banking,0,,,1,Yes,Friday
CUST_96442,SESS_00632,2024-03-11,3,Q1,0,Mobile,Direct,Tier 1,Male,36.0,Fashion,1,1,1,1,1,Completed_Purchase,7.0,87.62,9.6,6.0,9.19,1,12.0,credit_card,1,SALE20,0,0,No,Monday
CUST_11315,SESS_00169,2023-05-08,5,Q2,0,Desktop,Organic,Tier 3,Male,37.0,Fashion,1,1,0,0,0,Cart_Dropped,5.0,182.78,13.4,18.0,9.65,1,4.0,debit_card,0,,,0,No,Monday
CUST_15249,SESS_00493,2023-12-04,12,Q4,0,Mobile,Organic,Tier 1,Female,26.0,Home & Kitchen,1,1,0,0,0,Cart_Dropped,3.0,132.23,9.6,13.0,2.64,0,9.0,credit_card,0,,,0,No,Monday
CUST_42743,SESS_00069,2023-02-16,2,Q1,0,Desktop,Referral,Tier 1,Female,20.0,Fashion,1,0,0,0,0,Browsed_Only,3.0,58.49,4.5,12.0,2.06,0,6.0,cash_on_delivery,1,SUMMER15,,0,No,Thursday
CUST_20529,SESS_00963,2024-12-03,12,Q4,0,Tablet,Paid_Ad,Tier 3,Male,26.0,Beauty,1,0,0,0,0,Browsed_Only,2.0,76.07,4.0,8.0,3.55,0,8.0,credit_card,1,FLASH50,,0,No,Tuesday
CUST_45378,SESS_00099,2023-03-15,3,Q1,0,Mobile,Email,Tier 2,Male,28.0,Electronics,1,1,0,0,0,Cart_Dropped,3.0,52.64,24.8,12.0,2.04,0,1.0,debit_card,1,WELCOME,,0,No,Wednesday
CUST_38835,SESS_00076,2023-02-22,2,Q1,0,Mobile,Organic,Tier 3,Female,46.0,Toys,1,1,1,1,1,Completed_Purchase,4.0,84.71,11.5,2.0,1.31,0,4.0,credit_card,1,SUMMER15,0,0,No,Wednesday
CUST_39876,SESS_00617,2024-03-02,3,Q1,1,Mobile,Paid_Ad,Tier 1,Female,31.0,Electronics,1,0,0,0,0,Browsed_Only,4.0,34.17,15.5,4.0,2.64,1,6.0,credit_card,1,SAVE10,,0,No,Saturday
CUST_14002,SESS_00736,2024-06-14,6,Q2,0,Desktop,Social,Tier 1,Male,30.0,Books,1,1,1,1,1,Completed_Purchase,5.0,280.99,11.2,3.0,1.22,0,3.0,cash_on_delivery,1,DIWALI30,0,0,No,Friday
CUST_75354,SESS_00327,2023-08-12,8,Q3,1,Desktop,Paid_Ad,Tier 3,Female,32.0,Beauty,1,0,0,0,0,Browsed_Only,4.0,86.21,9.2,16.0,0.58,0,0.0,net_banking,0,,,0,No,Saturday
CUST_45183,SESS_00274,2023-07-09,7,Q3,1,Mobile,Social,Tier 1,Male,32.0,Books,1,1,1,0,0,Checkout_Dropped,1.0,149.62,9.6,10.0,2.64,0,17.0,net_banking,1,,,0,No,Sunday
